date,price
Sun Jan 14 17:09:09 2018,1364.07
Sun Jan 14 17:04:10 2018,1364.5
Sun Jan 14 16:59:10 2018,1362.86
Sun Jan 14 16:54:10 2018,1359.89
Sun Jan 14 16:49:10 2018,1358.63
Sun Jan 14 16:44:09 2018,1357.15
Sun Jan 14 16:39:10 2018,1364.51
Sun Jan 14 16:34:10 2018,1366.19
Sun Jan 14 16:29:09 2018,1365.13
Sun Jan 14 16:24:09 2018,1363.15
Sun Jan 14 16:19:09 2018,1365.84
Sun Jan 14 16:14:09 2018,1367.98
Sun Jan 14 16:09:09 2018,1370.17
Sun Jan 14 16:04:09 2018,1372.41
Sun Jan 14 15:59:09 2018,1374.26
Sun Jan 14 15:54:10 2018,1375.64
Sun Jan 14 15:49:10 2018,1376.62
Sun Jan 14 15:44:10 2018,1375.66
Sun Jan 14 15:39:10 2018,1374.77
Sun Jan 14 15:34:10 2018,1377.7
Sun Jan 14 15:29:10 2018,1377.25
Sun Jan 14 15:24:10 2018,1370.55
Sun Jan 14 15:19:11 2018,1366.63
Sun Jan 14 15:14:08 2018,1362.87
Sun Jan 14 15:09:09 2018,1359.99
Sun Jan 14 15:04:10 2018,1355.35
Sun Jan 14 14:59:09 2018,1349.42
Sun Jan 14 14:54:09 2018,1345.31
Sun Jan 14 14:49:10 2018,1346.66
Sun Jan 14 14:44:10 2018,1346.78
Sun Jan 14 14:39:10 2018,1345.1
Sun Jan 14 14:34:09 2018,1343.84
Sun Jan 14 14:29:09 2018,1344.5
Sun Jan 14 14:24:09 2018,1348.57
Sun Jan 14 14:19:10 2018,1362.78
Sun Jan 14 14:14:10 2018,1369.42
Sun Jan 14 14:09:09 2018,1366.26
Sun Jan 14 14:04:09 2018,1364.14
Sun Jan 14 13:59:09 2018,1359.29
Sun Jan 14 13:54:10 2018,1359.8
Sun Jan 14 13:49:09 2018,1358.78
Sun Jan 14 13:44:09 2018,1365.43
Sun Jan 14 13:39:09 2018,1381.46
Sun Jan 14 13:34:10 2018,1384.9
Sun Jan 14 13:29:09 2018,1389.49
Sun Jan 14 13:24:10 2018,1392.5
Sun Jan 14 13:19:10 2018,1394.38
Sun Jan 14 13:14:08 2018,1395.65
Sun Jan 14 13:09:09 2018,1392.63
Sun Jan 14 13:04:10 2018,1391.85
Sun Jan 14 12:59:10 2018,1392.18
Sun Jan 14 12:54:10 2018,1392.56
Sun Jan 14 12:49:10 2018,1388.62
Sun Jan 14 12:44:09 2018,1390.24
Sun Jan 14 12:39:10 2018,1391.76
Sun Jan 14 12:34:09 2018,1392.91
Sun Jan 14 12:29:10 2018,1390.33
Sun Jan 14 12:24:10 2018,1388.87
Sun Jan 14 12:19:10 2018,1385.52
Sun Jan 14 12:14:10 2018,1384.29
Sun Jan 14 12:09:09 2018,1382.22
Sun Jan 14 12:04:09 2018,1384.63
Sun Jan 14 11:59:09 2018,1382.55
Sun Jan 14 11:54:10 2018,1381.3
Sun Jan 14 11:49:09 2018,1380.92
Sun Jan 14 11:44:10 2018,1380.21
Sun Jan 14 11:39:09 2018,1375.32
Sun Jan 14 11:34:10 2018,1374.73
Sun Jan 14 11:29:11 2018,1381.23
Sun Jan 14 11:24:09 2018,1385.58
Sun Jan 14 11:19:09 2018,1386.84
Sun Jan 14 11:14:10 2018,1388.86
Sun Jan 14 11:09:09 2018,1390.78
Sun Jan 14 11:04:09 2018,1395.92
Sun Jan 14 10:59:09 2018,1400.56
Sun Jan 14 10:54:10 2018,1399.99
Sun Jan 14 10:49:10 2018,1397.94
Sun Jan 14 10:44:09 2018,1396.29
Sun Jan 14 10:39:10 2018,1394.42
Sun Jan 14 10:34:10 2018,1392.35
Sun Jan 14 10:29:09 2018,1394.37
Sun Jan 14 10:24:10 2018,1391.42
Sun Jan 14 10:19:10 2018,1385.29
Sun Jan 14 10:14:10 2018,1379.34
Sun Jan 14 10:09:10 2018,1378.16
Sun Jan 14 10:04:10 2018,1378.04
Sun Jan 14 09:59:09 2018,1378.35
Sun Jan 14 09:54:09 2018,1377.72
Sun Jan 14 09:49:09 2018,1379.55
Sun Jan 14 09:44:10 2018,1380.19
Sun Jan 14 09:39:08 2018,1384.42
Sun Jan 14 09:34:10 2018,1383.67
Sun Jan 14 09:29:10 2018,1382.73
Sun Jan 14 09:24:10 2018,1385.62
Sun Jan 14 09:19:09 2018,1385
Sun Jan 14 09:14:10 2018,1387.38
Sun Jan 14 09:09:10 2018,1395.92
Sun Jan 14 09:04:09 2018,1397.48
Sun Jan 14 08:34:09 2018,1389.06
Sun Jan 14 08:29:10 2018,1386.67
Sun Jan 14 08:24:10 2018,1389.6
Sun Jan 14 08:19:11 2018,1393.68
Sun Jan 14 08:14:10 2018,1394.8
Sun Jan 14 08:09:09 2018,1397.74
Sun Jan 14 08:04:10 2018,1401.7
Sun Jan 14 07:59:10 2018,1402.93
Sun Jan 14 07:54:09 2018,1410.06
Sun Jan 14 07:49:10 2018,1416.99
Sun Jan 14 07:44:10 2018,1413.99
Sun Jan 14 07:39:08 2018,1416.49
Sun Jan 14 07:34:10 2018,1415.58
Sun Jan 14 07:29:10 2018,1416.9
Sun Jan 14 07:24:09 2018,1415.37
Sun Jan 14 07:19:10 2018,1412.42
Sun Jan 14 07:14:09 2018,1411.47
Sun Jan 14 07:09:10 2018,1412.43
Sun Jan 14 07:04:09 2018,1412.12
Sun Jan 14 06:59:09 2018,1417.12
Sun Jan 14 06:54:11 2018,1425.02
Sun Jan 14 06:49:09 2018,1428.73
Sun Jan 14 06:44:09 2018,1428.03
Sun Jan 14 06:39:09 2018,1426.34
Sun Jan 14 06:34:09 2018,1427.74
Sun Jan 14 06:29:09 2018,1425.19
Sun Jan 14 06:24:10 2018,1419.43
Sun Jan 14 06:19:09 2018,1418
Sun Jan 14 06:14:09 2018,1423.81
Sun Jan 14 06:09:10 2018,1431.57
Sun Jan 14 06:04:10 2018,1432.88
Sun Jan 14 05:59:09 2018,1431.77
Sun Jan 14 05:54:09 2018,1428.84
Sun Jan 14 05:49:09 2018,1427.48
Sun Jan 14 05:44:09 2018,1425.01
Sun Jan 14 05:39:08 2018,1421.19
Sun Jan 14 05:34:09 2018,1420.92
Sun Jan 14 05:29:10 2018,1417.06
Sun Jan 14 05:24:09 2018,1415.38
Sun Jan 14 05:19:10 2018,1413.72
Sun Jan 14 05:14:09 2018,1405.29
Sun Jan 14 05:09:09 2018,1402.44
Sun Jan 14 05:04:09 2018,1401.21
Sun Jan 14 04:59:09 2018,1401.13
Sun Jan 14 04:54:09 2018,1402.9
Sun Jan 14 04:49:10 2018,1401.08
Sun Jan 14 04:44:10 2018,1398.12
Sun Jan 14 04:39:10 2018,1399.83
Sun Jan 14 04:34:10 2018,1407.16
Sun Jan 14 04:29:09 2018,1417.5
Sun Jan 14 04:24:10 2018,1423.91
Sun Jan 14 04:19:09 2018,1426.35
Sun Jan 14 04:14:10 2018,1427.05
Sun Jan 14 04:09:09 2018,1430.81
Sun Jan 14 04:04:10 2018,1427.51
Sun Jan 14 03:59:10 2018,1420.82
Sun Jan 14 03:54:10 2018,1415.42
Sun Jan 14 03:49:10 2018,1422.29
Sun Jan 14 03:44:09 2018,1428.02
Sun Jan 14 03:39:10 2018,1424.57
Sun Jan 14 03:34:09 2018,1421.07
Sun Jan 14 03:29:10 2018,1413.43
Sun Jan 14 03:24:10 2018,1410.68
Sun Jan 14 03:19:11 2018,1409.62
Sun Jan 14 03:14:10 2018,1409.08
Sun Jan 14 03:09:10 2018,1407.42
Sun Jan 14 03:04:09 2018,1404.34
Sun Jan 14 02:59:09 2018,1401.72
Sun Jan 14 02:54:11 2018,1398.87
Sun Jan 14 02:49:10 2018,1396.74
Sun Jan 14 02:44:09 2018,1396.15
Sun Jan 14 02:39:10 2018,1397.17
Sun Jan 14 02:34:10 2018,1399.69
Sun Jan 14 02:29:10 2018,1399.56
Sun Jan 14 02:24:11 2018,1391.74
Sun Jan 14 02:19:10 2018,1386.42
Sun Jan 14 02:14:09 2018,1380.49
Sun Jan 14 02:09:11 2018,1378.88
Sun Jan 14 02:04:10 2018,1376.77
Sun Jan 14 01:59:08 2018,1376.51
Sun Jan 14 01:54:10 2018,1374.22
Sun Jan 14 01:49:09 2018,1373.33
Sun Jan 14 01:44:10 2018,1372.34
Sun Jan 14 01:39:09 2018,1372.15
Sun Jan 14 01:34:10 2018,1369.4
Sun Jan 14 01:29:09 2018,1369.57
Sun Jan 14 01:24:10 2018,1365.57
Sun Jan 14 01:19:10 2018,1365.22
Sun Jan 14 01:14:10 2018,1366.18
Sun Jan 14 01:09:10 2018,1365.17
Sun Jan 14 01:04:09 2018,1365.53
