date,price,buy_volume,sell_volume,sum_buy,sum_sell,sum_volume
Sun Jan 14 20:59:21 2018,13704.4,0,0,0,0,0
Sun Jan 14 20:54:21 2018,13709.2,0,0,0,0,0
Sun Jan 14 20:49:22 2018,13702.5,0,0,0,0,0
Sun Jan 14 20:44:22 2018,13684.4,0,0,0,0,0
Sun Jan 14 20:39:21 2018,13713.3,0,0,0,0,0
Sun Jan 14 20:34:21 2018,13691.1,0,1,0,13691.1,-1
Sun Jan 14 20:29:21 2018,13721.3,0,0,0,0,1
Sun Jan 14 20:24:18 2018,13722.5,0,0,0,0,0
Sun Jan 14 20:19:22 2018,13761.6,0,0,0,0,0
Sun Jan 14 20:14:21 2018,13738.5,0,0,0,0,0
Sun Jan 14 20:09:22 2018,13733.4,0,0,0,0,0
Sun Jan 14 20:04:21 2018,13772.2,0,0,0,0,0
Sun Jan 14 19:59:21 2018,13808.8,0,0,0,0,0
Sun Jan 14 19:54:22 2018,13801.0,0,0,0,0,0
Sun Jan 14 19:49:22 2018,13815.3,0,0,0,0,0
Sun Jan 14 19:44:21 2018,13824.9,0,0,0,0,0
Sun Jan 14 19:39:21 2018,13783.0,0,0,0,0,0
Sun Jan 14 19:34:21 2018,13746.4,0,0,0,0,0
Sun Jan 14 19:29:22 2018,13750.7,0,0,0,0,0
Sun Jan 14 19:24:22 2018,13782.5,0,0,0,0,0
Sun Jan 14 19:19:21 2018,13742.1,0,0,0,0,0
Sun Jan 14 19:14:22 2018,13743.5,0,0,0,0,0
Sun Jan 14 19:09:21 2018,13748.8,1,0,13748.8,0,1
Sun Jan 14 19:04:21 2018,13739.2,1,0,13739.2,0,1
Sun Jan 14 18:59:21 2018,13732.0,0,0,0,0,0
Sun Jan 14 18:54:22 2018,13730.8,0,0,0,0,0
Sun Jan 14 18:49:21 2018,13704.6,0,0,0,0,0
Sun Jan 14 18:44:22 2018,13724.8,0,0,0,0,0
Sun Jan 14 18:39:21 2018,13733.1,0,0,0,0,0
Sun Jan 14 18:34:21 2018,13718.6,0,0,0,0,0
Sun Jan 14 18:29:21 2018,13662.3,0,1,0,13662.3,-1
Sun Jan 14 18:24:22 2018,13666.7,0,1,0,13666.7,0
Sun Jan 14 18:19:22 2018,13681.2,0,1,0,13681.2,0
Sun Jan 14 18:14:21 2018,13739.1,0,0,0,0,1
Sun Jan 14 18:09:21 2018,13816.4,0,0,0,0,0
Sun Jan 14 18:04:20 2018,13852.8,0,0,0,0,0
Sun Jan 14 17:59:20 2018,13843.7,0,1,0,13843.7,-1
Sun Jan 14 17:54:22 2018,13867.8,0,0,0,0,1
Sun Jan 14 17:49:21 2018,13919.7,0,0,0,0,0
Sun Jan 14 17:44:22 2018,13981.6,1,0,13981.6,0,1
Sun Jan 14 17:39:21 2018,13976.8,0,0,0,0,0
Sun Jan 14 17:34:21 2018,13968.6,0,0,0,0,0
Sun Jan 14 17:29:21 2018,13968.4,0,0,0,0,0
Sun Jan 14 17:24:21 2018,13971.7,0,0,0,0,0
Sun Jan 14 17:19:21 2018,13944.2,0,0,0,0,0
Sun Jan 14 17:14:22 2018,13955.4,0,0,0,0,0
Sun Jan 14 17:09:22 2018,13946.5,0,0,0,0,0
Sun Jan 14 17:04:22 2018,13953.5,0,0,0,0,0
Sun Jan 14 16:59:20 2018,13950.5,0,0,0,0,0
Sun Jan 14 16:54:21 2018,13933.9,0,0,0,0,0
Sun Jan 14 16:49:22 2018,13937.4,0,0,0,0,0
Sun Jan 14 16:44:20 2018,13930.9,0,0,0,0,0
Sun Jan 14 16:39:21 2018,13967.0,0,0,0,0,0
Sun Jan 14 16:34:21 2018,13972.1,0,0,0,0,0
Sun Jan 14 16:29:22 2018,13965.3,0,1,0,13965.3,-1
Sun Jan 14 16:24:21 2018,14005.8,0,0,0,0,1
Sun Jan 14 16:19:21 2018,14057.8,0,0,0,0,0
Sun Jan 14 16:14:22 2018,14076.8,0,0,0,0,0
Sun Jan 14 16:09:21 2018,14071.5,0,0,0,0,0
Sun Jan 14 16:04:22 2018,14062.5,0,0,0,0,0
Sun Jan 14 15:59:22 2018,14062.6,1,0,14062.6,0,1
Sun Jan 14 15:54:22 2018,14058.4,0,0,0,0,0
Sun Jan 14 15:49:21 2018,14058.2,0,0,0,0,0
Sun Jan 14 15:44:21 2018,14056.6,0,0,0,0,0
Sun Jan 14 15:39:22 2018,14058.5,0,0,0,0,0
Sun Jan 14 15:34:22 2018,14060.9,1,0,14060.9,0,1
Sun Jan 14 15:29:21 2018,14041.9,0,0,0,0,0
Sun Jan 14 15:24:21 2018,14023.7,0,0,0,0,0
Sun Jan 14 15:19:20 2018,14001.0,0,0,0,0,0
Sun Jan 14 15:14:21 2018,14005.4,1,0,14005.4,0,1
Sun Jan 14 15:09:21 2018,13995.4,1,0,13995.4,0,1
